#Galaxy	${m}_{\mathrm{ion}}$ ^a	f^b	$\mathrm{log}{N}_{{\rm{H}}\,{\rm{I}},\min }^{\mathrm{prior}}$	$\mathrm{log}{N}_{{\rm{H}}\,{\rm{I}},\max }^{\mathrm{prior}}$	#$\mathrm{log}{N}_{{\rm{H}}{\rm{I}}}$	$\mathrm{log}{n}_{{\rm{H}}}$	[Z/H]	
J0401-0540_67_24	2	0	15.42	15.48	15.34, 15.39, 15.45	-3.89, -3.56, -3.30	-0.27, -0.10, 0.15	83	0.35    2   1.14    10.2
J0803+4332_306_20	1	0	14.74	14.82	14.61, 14.69, 14.80	-3.82, -3.02, -2.69	-0.48, 0.06, 0.80	77	0.11    0   0       0
J0910+1014_242_34	5	0	16.52	16.63	16.42, 16.52, 16.63	-2.77, -2.59, -2.42	-0.25, -0.17, -0.04	135	0.16    0   0       0
J0910+1014_34_46	4	-3	16.00	18.50	17.45, 17.71, 17.94	-4.03, -3.80, -3.53	-1.77, -1.62, -1.42	112	0.34    2   14.12   10.6
J0914+2823_41_27	1	0	15.42	15.48	15.34, 15.40, 15.45	-3.81, -3.36, -3.07	-0.66, -0.44, -0.14	101	0.51    2   2.83    9.8
J0925+4004_196_22	8	0	19.40	19.70	19.39, 19.51, 19.65	-4.42, -4.17, -3.88	-0.95, -0.81, -0.66	83	0.12    0   0       0
J0928+6025_110_35	8	0	19.20	19.50	19.13, 19.30, 19.47	-3.11, -2.96, -2.85	-0.40, -0.15, 0.14	91	0.24    1   0.04    10.8
J0943+0531_106_34	1	0	15.50	16.57	15.53, 15.94, 16.39	-3.83, -3.36, -2.92	-1.28, -0.70, -0.13	121	0.34    2   4.52    10.8
J0950+4831_177_27	7	-3	17.90	18.50	18.03, 18.20, 18.37	-2.98, -2.80, -2.63	-1.01, -0.91, -0.77	91	0.15    0   0       0
J1009+0713_170_9	7	-3	18.00	19.00	18.34, 18.62, 18.84	-2.76, -2.53, -2.39	-0.92, -0.76, -0.61	44	0.20    2   3.04    10.3
J1009+0713_204_17	3	-3	16.50	18.50	17.13, 17.26, 17.39	-4.02, -3.81, -3.63	-1.19, -1.03, -0.83	60	0.29    2   4.58    9.9
J1016+4706_274_6	6	0	17.08	17.11	17.00, 17.05, 17.10	-3.21, -3.08, -2.98	-0.40, -0.35, -0.30	23	0.10    2   0.64    10.2
J1016+4706_359_16	5	-3	16.50	18.50	16.80, 17.74, 18.24	-3.77, -3.39, -3.14	-1.55, -1.23, -0.43	44	0.15    2   1.37    10.5
J1112+3539_236_14	2	-3	15.80	17.60	16.20, 16.68, 17.20	-2.81, -2.66, -2.53	-1.46, -0.93, -0.44	53	0.21    2   5.68    10.3
J1133+0327_110_5	6	0	18.54	18.66	18.40, 18.52, 18.59	-3.40, -3.20, -2.99	-1.39, -1.27, -1.19	18	0.03    1   0.04    10.8
J1220+3853_225_38	2	0	15.82	15.94	15.71, 15.82, 15.90	-4.28, -3.91, -3.60	0.27, 0.67, 1.10	154	0.47    1   0.13    10.8
J1233+4758_94_38	5	0	16.70	16.78	16.68, 16.74, 16.80	-3.11, -2.98, -2.84	-0.38, -0.29, -0.18	132	0.38    2   4.38    10.8
J1233-0031_168_7	2	0	15.54	15.59	15.42, 15.52, 15.59	-3.80, -3.46, -3.19	-0.23, -0.00, 0.32	32	0.12    2   3.42    10.6
J1241+5721_199_6	9	-3	17.80	18.50	18.25, 18.37, 18.44	-3.28, -3.20, -3.13	-0.71, -0.65, -0.59	20	0.08    2   4.32    10.2
J1241+5721_208_27	2	0	15.22	15.35	15.09, 15.21, 15.29	-3.41, -3.32, -3.19	0.15, 0.26, 0.41	93	0.41    2   1.06    10.1
J1245+3356_236_36	1	0	14.72	14.80	14.60, 14.66, 14.72	-3.84, -3.00, -2.64	-0.57, 0.03, 0.81	112	0.54    2   1.05    9.9
J1322+4645_349_11	5	0	17.11	17.17	17.00, 17.05, 17.10	-3.10, -2.97, -2.84	-0.82, -0.70, -0.62	37	0.10    0   0       0
J1330+2813_289_28	6	0	16.91	17.14	16.88, 17.01, 17.12	-2.61, -2.50, -2.41	-0.58, -0.50, -0.41	87	0.33    2   1.99    10.3
J1342-0053_157_10	9	-3	18.00	19.00	18.67, 18.82, 18.89	-2.81, -2.75, -2.70	-0.27, -0.20, -0.14	35	0.09    2   6.04    11.0
J1419+4207_132_30	6	0	16.43	16.82	16.69, 16.89, 17.07	-2.94, -2.82, -2.70	-0.69, -0.54, -0.42	88	0.28    2   11.36   10.6
J1435+3604_126_21	1	0	15.19	15.31	15.07, 15.17, 15.28	-3.90, -3.58, -3.34	-0.10, 0.14, 0.47	83	0.32    2   5.56    10.4
J1435+3604_68_12	7	0	19.70	19.90	19.59, 19.73, 19.82	-4.26, -3.76, -3.18	-1.45, -1.31, -1.18	39	0.08    2   18.96   11.1
J1514+3619_287_14	2	-3	16.50	18.50	17.20, 17.51, 17.84	-2.63, -2.51, -2.42	-1.27, -1.04, -0.75	47	0.24    0   0       0
J1550+4001_197_23	4	0	16.48	16.52	16.40, 16.45, 16.50	-2.80, -2.75, -2.70	-0.40, -0.35, -0.30	102	0.15    1   0.16    11.4
J1555+3628_88_11	6	0	16.97	17.36	17.17, 17.31, 17.46	-3.23, -3.07, -2.93	-0.96, -0.82, -0.71	34	0.11    2   4.18    10.5
J2345-0059_356_12	3	0	15.96	16.03	15.82, 15.92, 16.03	-3.68, -3.52, -3.36	-0.02, 0.11, 0.27	46	0.13    0   0       0

